Directorio,DA,Tipo,Presente,NAP_Consistente,URL,Costo,Prioridad,Trafico_Ref_Estimado,Accion,Notas
Google Business Profile,100,Universal,No,N/A,google.com/business,Gratis,Crítica,800-1200 sesiones/mes,Crear y optimizar perfil completo,El directorio #1 más importante - no negociable
Bing Places,95,Universal,No,N/A,bingplaces.com,Gratis,Alta,80-120 sesiones/mes,Crear perfil - copiar info de GBP,10-15% cuota mercado - bajo esfuerzo alto ROI
Apple Maps,92,Universal,No,N/A,mapsconnect.apple.com,Gratis,Alta,100-180 sesiones/mes,Registrar negocio vía Apple Maps Connect,Usuarios iPhone = alto poder adquisitivo (target)
TripAdvisor,91,Turismo,Sí,No,tripadvisor.es,Gratis + Premium,Crítica,420-680 sesiones/mes,Corregir NAP + optimizar perfil + acumular reviews,Plataforma #1 turismo - reviews = críticas
Booking.com,89,Alojamiento,No,N/A,booking.com/business,Comisión 15-20%,Media,220-350 sesiones/mes,Evaluar ROI comisiones vs volumen reservas,Alto volumen pero comisiones elevadas
Airbnb,87,Alojamiento,Posible,Verificar,airbnb.com/host,Comisión 3%,Alta,380-580 sesiones/mes,Listar villas selectas - comisión razonable,Competencia directa pero alcance masivo
HomeAway/Vrbo,84,Alojamiento,No,N/A,homeaway.es/propietarios,Suscripción,Media,180-280 sesiones/mes,Considerar para villas premium,Enfocado mercado estadounidense/UK
Ibiza Spotlight,68,Local Ibiza,No,N/A,ibiza-spotlight.com/directorio,Gratis + Premium,Muy Alta,280-420 sesiones/mes,Crear perfil premium - directorio específico Ibiza,Audiencia 100% target - alta intención
Timeout Ibiza,75,Turismo Local,No,N/A,timeout.com/ibiza,Gratis,Alta,320-480 sesiones/mes,Solicitar inclusión en guías de alojamiento,Autoridad internacional + local
Yelp España,78,Reviews,No,N/A,yelp.es/biz,Gratis,Media,60-100 sesiones/mes,Reclamar perfil si existe o crear nuevo,Menos relevante en España pero útil para turistas USA
Facebook Business Page,88,Social,Sí,Verificar,facebook.com/business,Gratis,Alta,180-280 visitas/mes,Verificar NAP + completar sección Ubicación,Integración con Instagram - audiencia masiva
Instagram Location Tag,85,Social,Sí,Verificar,instagram.com,Gratis,Alta,220-350 visitas/mes,Etiquetar ubicación en todos los posts de villas,UGC de clientes etiquetando = marketing gratuito
Foursquare,72,Local,No,N/A,foursquare.com/business,Gratis,Baja,20-40 sesiones/mes,Crear perfil básico,Bajo esfuerzo - completa ecosistema
PagesJaunes (Francia),68,Europeo,No,N/A,pagesjaunes.fr,Gratis,Media,40-80 sesiones/mes,Listar para mercado francés,Mercado francés = importante en Ibiza
Yellow Pages España,65,Nacional,No,N/A,paginasamarillas.es,Gratis,Media,30-60 sesiones/mes,Crear ficha básica,Buen link + cobertura nacional
Luxury Retreats,71,Nicho Lujo,No,N/A,luxuryretreats.com,Comisión,Alta,180-280 sesiones/mes,Solicitar inclusión - mercado alto standing,Target perfecto - clientela lujo internacional
Villas.com,69,Nicho Villas,No,N/A,villas.com/owners,Comisión,Media,120-200 sesiones/mes,Evaluar inclusión villas selectas,Específico nicho - competencia directa
Ibiza Travel Guide,52,Local Ibiza,No,N/A,ibiza-travel-guide.com,Gratis + Sponsor,Alta,80-140 sesiones/mes,Crear perfil + considerar sponsor,Guía local con tráfico cualificado
Ibiza 5 Sentidos,48,Local Ibiza,No,N/A,ibiza5sentidos.es,Gratis,Media,40-70 sesiones/mes,Listar en directorio alojamientos,Portal local - bajo esfuerzo
Hotfrog España,55,Business,No,N/A,hotfrog.es,Gratis,Baja,10-25 sesiones/mes,Crear ficha rápida,Citation adicional - 10 minutos
Cylex España,54,Business,No,N/A,cylex.es,Gratis,Baja,8-20 sesiones/mes,Crear ficha rápida,Link + NAP consistency
Eventbrite,62,Eventos,No,N/A,eventbrite.es,Gratis,Baja,15-35 sesiones/mes,Crear perfil si organizan eventos en villas,Aplicable si ofrecen villas para eventos corporativos
