query,impresiones,clics,ctr,posicion_promedio,tipo_intent,oportunidad,accion_recomendada,potencial_clics_adicionales,prioridad
alquiler villas ibiza,28450,798,2.8%,24.3,Transaccional,Baja posición top 3,Content refresh + backlinks DR 70+,850-1200,Crítica
villa lujo ibiza,18920,623,3.3%,18.2,Transaccional,Featured snippet,Optimize for position 0,420-580,Muy Alta
villas ibiza piscina privada,15680,412,2.6%,26.8,Transaccional,Subir a top 20,Internal linking + on-page,380-520,Crítica
mejores zonas ibiza,12340,489,4.0%,12.5,Informacional,Ya top 15,Mantener posición,80-120,Media
cuánto cuesta alquiler villa ibiza,9850,246,2.5%,28.4,Informacional,FAQ schema,Create FAQ + snippet optimization,290-410,Alta
villa ibiza 10 personas,8920,267,3.0%,22.1,Transaccional,Baja posición,Landing específica capacidad,220-310,Alta
alquiler villa ibiza agosto,7650,198,2.6%,31.2,Transaccional,Muy baja posición,Seasonal content + calendar,245-340,Muy Alta
villas lujo ibiza playa,6890,215,3.1%,19.8,Transaccional,Cerca top 20,Category page optimization,145-200,Alta
villa ibiza con chef,5420,142,2.6%,25.7,Transaccional,Service landing missing,Create service landing page,135-185,Alta
guía completa ibiza,4980,312,6.3%,8.2,Informacional,Top 10 excelente,Expand content,50-80,Baja
villa ibiza cala tarida,4560,118,2.6%,27.5,Transaccional,Zone landing weak,Optimize zone landing,115-160,Alta
política cancelación villas ibiza,3890,97,2.5%,32.8,Informacional,Trust content missing,Clear policy page + calculator,98-135,Media
mejor época viajar ibiza,3420,185,5.4%,11.3,Informacional,Top 15 good,Seasonal guide expansion,35-55,Baja
villa ibiza san josé,2980,76,2.6%,29.4,Transaccional,Zone underoptimized,Zone content + villas grid,75-105,Media
reviews villas ibiza,2650,124,4.7%,14.8,Informacional,Add review aggregation,Reviews page + schema,25-40,Baja
