Elemento_Tecnico,Categoria,Implementado,Prioridad,Impacto_Voice,Accion_Detallada,Esfuerzo,Timeline,Como_Verificar,Notas
"FAQPage Schema Markup",Structured Data,No,Crítica,Muy Alto,"Implementar FAQPage Schema en 8-10 páginas principales: Homepage, Servicios, Zonas, Requisitos, Precios, Políticas. Formato JSON-LD con Question/Answer pairs.",Medio,2 semanas,"Google Rich Results Test + Search Console → Mejoras → FAQs detectadas","Google Assistant lee directamente de FAQPage Schema"
"Speakable Schema Markup",Structured Data,No,Muy Alta,Alto,"Añadir Speakable markup en secciones clave que Google puede leer en voz alta: Resúmenes ejecutivos, Respuestas directas, Listas de servicios/amenidades.",Medio,2 semanas,"Schema.org validator + Google Assistant test con queries relevantes","Permite a Google seleccionar partes específicas para respuestas habladas"
"Mobile Page Speed <3s",Performance,Parcial,Crítica,Muy Alto,"Optimizar LCP a <2.5s: Comprimir imágenes WebP, CDN, lazy loading, critical CSS inline, defer JS. Target: Mobile score 85+.",Alto,3-4 semanas,"PageSpeed Insights móvil + Lighthouse + Core Web Vitals report","Voice search 95% desde móvil - velocidad crítica para ranking"
"Featured Snippets Optimization",Content Structure,No,Muy Alta,Muy Alto,"Formatear contenido para snippets: Listas numeradas/bullets, Tablas comparativas, Definiciones en <p> primeros 50 palabras, Q&A format con H2.",Medio,3 semanas,"Monitoreo manual SERPs queries objetivo + SEMrush Position Tracking Featured","Featured Snippet = Posición 0 = Voice answer en 40-50% casos"
"Local Business Schema",Structured Data,Parcial,Alta,Alto,"Completar LocalBusiness Schema: Address exacta, GeoCoordinates, OpeningHours, PriceRange, Telephone, Email, sameAs (redes sociales).",Bajo,1 semana,"Google Rich Results Test + Google Business Profile sync","Crítico para queries local + near me desde voice"
"HTTPS en 100% del sitio",Security,Sí,Crítica,Alto,"Mantener - verificar mixed content warnings. HTTPS = requisito mínimo voice search.",Muy Bajo,N/A,"Browser console + SSL Labs test + Search Console Security Issues","Implementado - solo mantenimiento"
"Responsive Design 100%",Mobile UX,Sí,Alta,Alto,"Mantener - verificar breakpoints. Voice → Mobile → Responsive = cadena crítica.",Muy Bajo,N/A,"Google Mobile-Friendly Test + Real device testing","Implementado - verificar nuevas páginas"
"Lenguaje Natural en Contenido",Content Writing,Parcial,Muy Alta,Muy Alto,"Re-escribir 15-20 páginas clave con lenguaje conversacional: Usar preguntas como H2, Responder en 2-3 frases completas, Evitar keyword stuffing, Tone: Amigable y directo.",Alto,4-6 semanas,"Readability tests + User testing + Voice search simulation","Voice entiende mejor lenguaje natural vs keywords forzadas"
"Question-Format Headings",Content Structure,No,Alta,Alto,"Convertir H2/H3 a formato pregunta cuando aplicable: ¿Cómo...? ¿Cuánto...? ¿Qué...? ¿Dónde...? ¿Cuándo...? Target: 30-40% headings en formato pregunta.",Medio,2-3 semanas,"Screaming Frog extraction + Manual review headings","Voice queries son preguntas - match exacto aumenta relevancia"
"Answer Boxes (Primeros 50 palabras)",Content Optimization,No,Muy Alta,Muy Alto,"Crear answer boxes: Primer párrafo después de H2-pregunta = respuesta directa 40-60 palabras. Formato: Sujeto + Verbo + Complemento completo.",Medio,3 semanas,"Manual review 20 páginas top + A/B testing different formats","Google extrae respuesta voice de primeros 50-75 palabras frecuentemente"
