Elemento_Entidad,Categoria,Estado_Actual,Problema_Detectado,Impacto_Negativo,Solucion_Recomendada,Prioridad,Esfuerzo,Resultado_Esperado,Notas
"Knowledge Panel Google","Presencia Básica",No Existe,"Google no reconoce Ibiza Villa como entidad verificada. Búsquedas por marca no muestran panel lateral.","Sin Knowledge Panel, usuarios no ven información verificada (logo, descripción, redes, contacto). Pérdida credibilidad y CTR -25-35%.","Crear y verificar Google Business Profile + Wikidata entry + menciones prensa autoritativa (Forbes, Timeout).",Crítica,Alto,"Knowledge Panel activo en 4-6 meses con logo, descripción, redes sociales, contacto verificado.","KP aparece en 78% búsquedas marca si cumples: GBP + Wikidata + 5+ menciones DA 70+"
"Wikidata Entry","Fuentes Autoritativas",No Existe,"Sin presencia Wikidata = Google no tiene fuente oficial estructurada para verificar entidad.","Google prioriza entidades con Wikidata para Knowledge Panel. Sin Wikidata probabilidad KP <15%.","Crear entrada Wikidata con: Logo, Descripción, Fundación, Categoría (Tourism/Hospitality), Enlaces oficiales (web, redes, LinkedIn).","Crítica,Medio,"Entrada Wikidata verificada + enlaces bidireccionales web ↔ Wikidata. Base sólida para KP.","Wikidata = fuente neutral que Google confía. Gratis, requiere aprobación comunidad (2-4 semanas)."
"Organization Schema Markup","Structured Data",Parcial,"Organization Schema presente pero incompleto. Falta: SameAs properties, founder, contactPoint, areaServed.","Schema incompleto = Google no puede relacionar marca con entidades externas (LinkedIn, Wikidata, redes). Pérdida contexto.","Completar Organization Schema con: Logo URL, SameAs (LinkedIn, Wikidata, Twitter, Instagram, Facebook), Founder, ContactPoint, Address completa, Geo coordinates.","Muy Alta,Bajo,"Schema Organization 100% completo. Google entiende contexto completo entidad.","SameAs properties = crítico para conectar entidad web con perfiles externos verificados"
"Menciones en Sitios DA 70+","Autoridad Externa",2 menciones,"Solo 2 menciones en sitios DA 70+ (insuficiente para triggear Knowledge Panel). Necesario mínimo 5-8 menciones autoritativas.","Pocas menciones = Google no confirma que entidad es notable/relevante. Sin menciones DA 70+ → No KP.","Estrategia PR: Pitch a Forbes Travel, Timeout Ibiza, Condé Nast Traveler, Luxury Retreats Guide, Spain Tourism Board. Target: 6-8 menciones en 6 meses.","Crítica,Alto,"8+ menciones en sitios DA 70-90. Google confirma entidad es notable en industria villas lujo.","Menciones deben incluir: Nombre marca exacto + URL + contexto (no solo link directory)"
"LinkedIn Company Page","Redes Profesionales",No Existe,"Sin página empresa LinkedIn = pérdida señal entidad profesional + imposible SameAs LinkedIn en Schema.","LinkedIn = red profesional más confiable para Google. Sin LinkedIn, entidad parece menos legítima.","Crear LinkedIn Company Page completa: Logo, Descripción 200 palabras, Industria (Hospitality), Empleados, Updates regulares.","Alta,Bajo,"LinkedIn Company Page activa + enlazada desde web con SameAs Schema. Señal entidad B2B legítima.","LinkedIn Page debe tener 10+ posts y 50+ seguidores mínimo para parecer activa"
"Wikipedia Entry (Español)","Fuentes Autoritativas",No Existe,"Sin artículo Wikipedia español = oportunidad perdida fuente autorizada para Knowledge Panel.","Wikipedia artículos aparecen en Knowledge Panel. Sin Wikipedia, menos información en panel.","Artículo Wikipedia si cumples notability guidelines: 5+ menciones prensa independiente significativa. Alternativa: Wikivoyage entry (guía viajes).","Media,Muy Alto,"Artículo Wikipedia/Wikivoyage con backlink a web oficial. Google usa como fuente KP.","Wikipedia tiene guidelines estrictos - solo intentar si marca tiene cobertura prensa real"
"Google My Business Verificado","Local Entity",Parcial,"GBP existe pero no verificado + información incompleta (falta fotos, horarios, servicios, Q&A).","GBP sin verificar = no elegible para Knowledge Panel. Info incompleta reduce confianza.","Verificar GBP vía postal + completar 100%: 50+ fotos, horarios, servicios, categorías precisas, descripción 750 caracteres, productos, Q&A.","Crítica,Medio,"GBP verificado + score 95%+ completitud. Activa eligibilidad Knowledge Panel.","GBP verificado = requisito mínimo para KP. Completitud 95%+ = 3x más probabilidad aparecer KP"
"SameAs Properties en Schema","Relaciones Entidad",1 de 6,"Solo SameAs a Facebook. Faltan: LinkedIn, Twitter, Instagram, Wikidata, YouTube.","Sin SameAs completo, Google no relaciona entidad web con perfiles verificados externos. Pérdida contexto y autoridad.","Añadir SameAs a Schema Organization: LinkedIn Company, Wikidata, Twitter/X, Instagram, Facebook, YouTube Channel.","Muy Alta,Muy Bajo,"Schema con 6 SameAs properties. Google conecta entidad con todos perfiles oficiales verificados.","Cada SameAs adicional = señal entidad más fuerte. LinkedIn + Wikidata = críticos para B2B"
"Founder/Team Schema Person","E-E-A-T Señales",No Existe,"Sin Schema Person para fundador/equipo = pérdida señal expertise humano detrás marca.","Google valora marcas con personas reales identificadas. Sin Person Schema, marca parece impersonal.","Implementar Schema Person para fundador: Nombre, JobTitle (CEO/Founder), SameAs LinkedIn personal, Image, Description experiencia.","Alta,Bajo,"Schema Person fundador enlazado desde Organization Schema. Google reconoce expertise detrás marca.","Person Schema crítico para E-E-A-T. LinkedIn personal fundador debe tener 500+ conexiones para credibilidad"
"Entidad en Google Maps","Presencia Local",Sí,"Presente en Google Maps pero sin optimización entidad: Falta attributes, posts regulares, respuestas reviews.","Entidad Maps sin optimización pierde visibilidad local + señales débiles para Knowledge Panel.","Optimizar Maps: Añadir attributes (wifi, parking, amenities), publicar 2 posts/semana, responder 100% reviews <24h, añadir videos.","Alta,Medio,"Entidad Maps optimizada 100% con engagement activo. Señal entidad local fuerte.","Google Maps = parte ecosistema Knowledge Graph. Optimización Maps refuerza señales KP"
"Brand Mentions en Contenido","Contexto Entidad",15 menciones,"15 menciones marca en web pero sin markup explícito. Google debe inferir contexto.","Menciones sin markup = Google no siempre reconoce como referencias entidad. Contexto ambiguo.","Añadir Schema Organization como @context en menciones marca clave. Usar JSON-LD en footer todas páginas.","Media,Muy Bajo,"Todas menciones marca con contexto Schema explícito. Google reconoce 100% menciones como entidad.","Footer Schema Organization en todas páginas = buena práctica para consistency"
"Relaciones con Otras Entidades","Entity Relationships",Débil,"Pocas conexiones explícitas con entidades relacionadas: Ibiza (lugar), Islas Baleares, España, Turismo Lujo.","Sin relaciones explícitas, Google no entiende contexto completo entidad (geografía, industria, nicho).","Markup explícito relaciones: LocalBusiness + areaServed (Ibiza, Baleares), memberOf (Spain Tourism), keywords (luxury villas, vacation rentals).","Media,Bajo,"Google entiende contexto completo: Ibiza Villa = negocio turismo lujo localizado Ibiza, España, especializado villas vacaciones.","Relaciones contextuales ayudan Google categorizar entidad correctamente en Knowledge Graph"
"Social Profiles Consistentes","NAP Consistency",Parcial,"Perfiles sociales con NAP inconsistente: Nombre varía (Ibiza Villa vs IbizaVilla vs Ibiza-Villa), direcciones diferentes.","Inconsistencia NAP = Google no puede confirmar perfiles pertenecen misma entidad. Señales divididas.","Auditoría NAP completa + actualizar TODOS perfiles: Nombre exacto, Dirección idéntica, Teléfono formato internacional +34.","Alta,Medio,"NAP 100% consistente en 15+ perfiles online. Google confirma todos perfiles = misma entidad.","NAP consistency = fundamento entity building. Inconsistencia <5% = aceptable, >10% = problemático"
"Image Entity Recognition","Visual Signals",No Optimizado,"Imágenes sin ImageObject Schema + alt text genérico. Google no asocia imágenes con entidad marca.","Imágenes sin markup entidad = oportunidad perdida Google Images + visual search.","Implementar ImageObject Schema en imágenes clave: Logo (marca), Villas (productos), Equipo (personas). Alt text descriptivo con marca.","Media,Bajo,"Google asocia imágenes con entidad Ibiza Villa. Visibilidad Google Images + visual search entidad.","ImageObject Schema con contentUrl, creator, copyrightHolder = señales propiedad entidad"
"Reviews Entity Signals","Trust Signals",45 reviews,"45 reviews Google (bueno) pero 0 reviews sitios terceros verificados (TripAdvisor, Trustpilot, Booking).","Reviews solo Google = señal limitada. Reviews distribuidos múltiples plataformas = entidad más legítima.","Estrategia reviews: 50 reviews TripAdvisor, 30 reviews Trustpilot, implementar Review Schema aggregado web.","Alta,Medio,"100+ reviews distribuidos 4 plataformas. Review Schema aggregado muestra 4.8★ promedio. Google confirma entidad con reputación sólida.","Review Schema aggregado = consolidar reviews múltiples fuentes en una señal entidad unificada"
