schema_type,ubicacion_implementar,propiedades_criticas,ejemplo_codigo_json_ld,impacto_seo_vertical,prioridad,esfuerzo,como_validar,notas_implementacion
RealEstateListing,Cada página villa individual,"name, description, address (structured), geo (lat/lon), numberOfRooms, floorSize, petsAllowed, amenityFeature (array)","{ ""@type"": ""RealEstateListing"", ""name"": ""Villa Sunset Ibiza"", ""address"": { ""@type"": ""PostalAddress"", ""streetAddress"": ""Calle Sant Josep 45"", ""addressLocality"": ""Sant Josep"", ""postalCode"": ""07829"", ""addressCountry"": ""ES"" }, ""geo"": { ""@type"": ""GeoCoordinates"", ""latitude"": ""38.9167"", ""longitude"": ""1.3000"" }, ""numberOfRooms"": ""6"", ""floorSize"": { ""@type"": ""QuantitativeValue"", ""value"": ""450"", ""unitCode"": ""MTK"" }, ""amenityFeature"": [{ ""@type"": ""LocationFeatureSpecification"", ""name"": ""Infinity Pool"" }] }",Crítico para aparecer en búsquedas inmobiliarias + rich snippets propiedades,Crítica,Alto,Google Rich Results Test + Search Console Rich Results report,Schema específico real estate más fuerte que Product genérico
Accommodation (+ subtype Villa),Alternativa a RealEstateListing,"@type: Villa, name, image (array), description, address, geo, numberOfRooms, petsAllowed, amenityFeature, aggregateRating","{ ""@type"": ""Villa"", ""name"": ""Villa Sunset"", ""image"": [""url1.jpg"",""url2.jpg""], ""aggregateRating"": { ""@type"": ""AggregateRating"", ""ratingValue"": ""4.8"", ""reviewCount"": ""132"" }, ""amenityFeature"": [""WiFi"",""Pool"",""AirConditioning""] }",Muy Alto - Google entiende mejor Accommodation que Product para alquileres,Muy Alta,Medio,Schema Validator + Google Travel vertical,Accommodation mejor para rental vs RealEstateListing mejor para venta
Offer (dentro de RealEstateListing),Pricing section cada villa,"price, priceCurrency, priceSpecification (seasonal), availability, validFrom, validThrough","{ ""offers"": { ""@type"": ""Offer"", ""price"": ""4500"", ""priceCurrency"": ""EUR"", ""priceSpecification"": { ""@type"": ""UnitPriceSpecification"", ""price"": ""4500"", ""priceCurrency"": ""EUR"", ""unitText"": ""WEEK"" }, ""availability"": ""https://schema.org/InStock"" } }",Alto - Permite mostrar precios en rich snippets y comparadores,Alta,Medio,Rich Results Test: Offer aparece,Usar priceSpecification para tarifas por semana/noche/mes
Place (anidado en address),Cada villa + páginas zona,"name (zona), geo, containedInPlace (Ibiza), photo, description (zona)","{ ""@type"": ""Place"", ""name"": ""Cala Tarida"", ""geo"": { ""@type"": ""GeoCoordinates"", ""latitude"": ""38.9345"", ""longitude"": ""1.2156"" }, ""containedInPlace"": { ""@type"": ""City"", ""name"": ""Sant Josep de sa Talaia"" }, ""photo"": ""cala-tarida.jpg"" }",Medio - Ayuda búsquedas locales + Google Maps,Media,Bajo,Google Maps aparición mejorada,Crítico para búsquedas ""villa en [zona]""
AggregateRating,Cada villa + home (global),ratingValue (4.8), reviewCount (132), bestRating (5), worstRating (1),"{ ""aggregateRating"": { ""@type"": ""AggregateRating"", ""ratingValue"": ""4.8"", ""reviewCount"": ""132"", ""bestRating"": ""5"", ""worstRating"": ""1"" } }",Alto - Stars en SERPs aumentan CTR +25-35%,Muy Alta,Bajo,Rich Results Test: Stars visible,Consolidar reviews múltiples fuentes (Google, TripAdvisor, Airbnb)
Review (individual),Sample reviews destacadas,"author, datePublished, reviewRating (1-5), reviewBody","{ ""review"": { ""@type"": ""Review"", ""author"": { ""@type"": ""Person"", ""name"": ""Sarah Johnson"" }, ""datePublished"": ""2024-08-15"", ""reviewRating"": { ""@type"": ""Rating"", ""ratingValue"": ""5"" }, ""reviewBody"": ""Absolutely stunning villa..."" } }",Medio - Complementa AggregateRating con ejemplos,Media,Bajo,Rich Results Test,3-5 reviews destacadas por villa suficiente
ImageObject (galería),Galerías villas (30-50 fotos),"contentUrl, caption, creator, copyrightHolder, exifData (opcional)","{ ""image"": { ""@type"": ""ImageObject"", ""contentUrl"": ""https://.../villa-pool.jpg"", ""caption"": ""Infinity pool sunset view"", ""creator"": { ""@type"": ""Organization"", ""name"": ""Ibiza Villa"" } } }",Bajo directo - Ayuda Google Images + copyright,Baja,Bajo,Google Images Search Console,Útil para protección copyright + Google Images SEO
BreadcrumbList,Todas páginas (navegación),"itemListElement (array), position, name, item (URL)","{ ""@type"": ""BreadcrumbList"", ""itemListElement"": [{ ""@type"": ""ListItem"", ""position"": 1, ""name"": ""Home"", ""item"": ""https://..."" }, { ""@type"": ""ListItem"", ""position"": 2, ""name"": ""Villas"", ""item"": ""https://.../villas"" }] }",Medio - Mejora sitelinks + navegación SERPs,Media,Bajo,Rich Results Test: Breadcrumbs visible,Ayuda usuarios + Google entender jerarquía
Service (servicios adicionales),"Páginas servicios (chef, concierge, transfers)","name, provider, serviceType, areaServed, offers","{ ""@type"": ""Service"", ""name"": ""Private Chef Service"", ""provider"": { ""@type"": ""Organization"", ""name"": ""Ibiza Villa"" }, ""serviceType"": ""Culinary Services"", ""areaServed"": ""Ibiza"", ""offers"": { ""price"": ""350"", ""priceCurrency"": ""EUR"" } }",Medio - Posiciona servicios verticales (chef, spa),Media,Medio,Service rich snippets,Diferenciación vs competidores básicos
Event (para villas eventos),"Villas con capacidad eventos (bodas, corporate)","name, startDate, endDate, location (villa), offers, eventAttendanceMode","{ ""@type"": ""Event"", ""name"": ""Luxury Wedding Venue"", ""location"": { ""@type"": ""Villa"", ""name"": ""Villa Sunset"" }, ""offers"": { ""price"": ""15000"", ""priceCurrency"": ""EUR"" }, ""eventAttendanceMode"": ""OfflineEventAttendanceMode"" }",Bajo - Nicho específico bodas/eventos,Baja,Medio,Event rich snippets,Solo para villas con licencia eventos
