query,posicion_actual,posicion_objetivo,impresiones_mes,clics_actuales,ctr_actual,ctr_objetivo,clics_potenciales,ganancia_clics,esfuerzo,roi_estimado,accion_especifica,timeline_dias,prioridad
alquiler villas ibiza,24.3,8-12,28450,798,2.8%,8.5-12.0%,2418-3414,1620-2616,Alto,18:1,Content refresh 2000 palabras + 3-4 backlinks DR 70+,60-90,Crítica
villas ibiza piscina privada,26.8,12-18,15680,412,2.6%,6.5-9.0%,1019-1411,607-999,Medio,12:1,Landing específica amenidad piscina + schema Product,45-60,Crítica
alquiler villa ibiza agosto,31.2,15-22,7650,198,2.6%,5.0-7.5%,383-574,185-376,Bajo,22:1,Seasonal calendar 2024-2025 + dynamic pricing display,30-45,Muy Alta
villa ibiza 10 personas,22.1,10-15,8920,267,3.0%,7.5-10.5%,669-936,402-669,Medio,15:1,Landing capacidad 8-12 personas + filtro capacidad,45-60,Alta
villa lujo ibiza,18.2,5-10,18920,623,3.3%,12.0-18.0%,2270-3406,1647-2783,Alto,20:1,Featured snippet optimization + hero luxury positioning,60-90,Muy Alta
villa ibiza con chef,25.7,12-18,5420,142,2.6%,6.5-9.0%,352-488,210-346,Bajo,25:1,Service landing chef + bundle offers + reviews chef,30-45,Alta
villa ibiza cala tarida,27.5,10-15,4560,118,2.6%,7.5-10.5%,342-479,224-361,Medio,18:1,Zone landing Cala Tarida completo + 6 villas grid,45-60,Alta
cuánto cuesta alquiler villa ibiza,28.4,8-15,9850,246,2.5%,8.5-12.0%,837-1182,591-936,Bajo,28:1,FAQ schema + pricing table 3 seasons + calculator,30-45,Alta
villas lujo ibiza playa,19.8,8-12,6890,215,3.1%,8.5-12.0%,586-827,371-612,Medio,16:1,Beach villas category + proximity filter + map,45-60,Alta
villa ibiza san josé,29.4,12-18,2980,76,2.6%,6.5-9.0%,194-268,118-192,Medio,14:1,Zone San José landing + cultural highlights + villas,45-60,Media
política cancelación villas ibiza,32.8,15-22,3890,97,2.5%,5.0-7.5%,195-292,98-195,Bajo,20:1,Clear policy page + refund calculator + insurance upsell,30-45,Media
mejor época viajar ibiza,11.3,5-8,3420,185,5.4%,12.0-18.0%,410-616,225-431,Medio,12:1,Seasonal guide expansion + weather data + event calendar,45-60,Baja
reviews villas ibiza,14.8,5-10,2650,124,4.7%,12.0-18.0%,318-477,194-353,Bajo,18:1,Reviews aggregation page + schema Review + trust badges,30-45,Baja
villa ibiza desayuno incluido,45.2,20-28,1850,12,0.6%,3.0-5.0%,56-93,44-81,Bajo,15:1,Amenities page breakfast + services inclusions checklist,30-45,Baja
alquiler villa ibiza navidad,38.5,18-25,2140,22,1.0%,4.5-7.0%,96-150,74-128,Bajo,22:1,Holiday seasonal content + winter promotions + availability,30-45,Media
