Dominio_Origen,Pagina_Destino,DR,Spam_Score,Tipo_Problema,Anchor_Text,Accion_Recomendada,Prioridad,Impacto_Estimado,Notas
cheap-ibiza-holidays.ru,/villas/,12,87,Spam Score Alto,cheap villas ibiza,Disavow inmediato,Muy Alta,Mejora DR +2 puntos,Dominio ruso con contenido spam masivo
casino-online-247.info,/,8,94,Dominio Irrelevante,click here,Disavow inmediato,Muy Alta,Reduce señales spam,Link desde sitio casino - completamente irrelevante
free-backlinks-generator.com,/contacto/,5,98,Granja de Enlaces,ibiza villa,Disavow inmediato,Crítica,Penalización potencial,Herramienta generación links automática
ibiza-party-drugs.onion,/villas/villa-sunset/,0,100,Contenido Ilegal,luxury villa,Disavow urgente,Crítica,Evitar asociación negativa,Sitio dark web - riesgo reputación
replica-watches-spain.net,/sobre-nosotros/,15,82,Spam + Anchor Exacto,alquiler villas lujo ibiza,Disavow,Alta,Mejora anchor text ratio,Sitio réplicas - anchor exacto spam
seo-tools-free-2019.biz,/blog/,11,91,Link Scheme,visit website,Disavow inmediato,Muy Alta,Reduce footprint spam,Red de enlaces automatizados
get-instagram-followers.co,/,9,89,Dominio Irrelevante,www.ibizavilla.com,Disavow,Alta,Limpia perfil backlinks,Servicio followers falsos
download-movies-free.ru,/villas/san-antonio/,6,96,Spam Internacional,san antonio villas,Disavow inmediato,Muy Alta,Reduce spam internacional,Sitio piratería ruso
best-essay-writing.org,/blog/guias/,18,78,Dominio Irrelevante,useful guide,Disavow,Media,Mejora relevancia temática,Servicio ensayos universitarios
poker-online-real-money.net,/servicios/,14,85,Contenido Adulto,luxury services,Disavow,Alta,Evita señales negativas,Gambling - fuera de nicho completamente
