URL,Tipologia,Contenido_Actual,Gaps_Detectados,Buyer_Persona_Target,Intent_Busqueda,Keywords_Objetivo,Elementos_Faltantes,Prioridad,Accion_Recomendada,Impacto_Estimado
"/","Home",Slider hero + búsqueda básica + 6 villas destacadas + footer,"Falta: Propuesta valor clara, Social proof (reviews destacadas), Trust signals (certificaciones), Sección FAQ, Blog highlights, Comparador villas","Turista lujo internacional (UK/DE/US) buscando villa exclusiva Ibiza","Navegacional + Informacional (primer contacto marca)","alquiler villas lujo ibiza, villas ibiza piscina privada, luxury villa rental ibiza","Propuesta valor above fold (¿Por qué Ibiza Villa?), Reviews agregadas (4.8★ 132 reviews), Certificaciones (License, Insurance), FAQ 5-8 preguntas, Blog últimos 3 artículos, Comparador 3 villas",Crítica,"Rediseño home completo con 8 secciones clave. Priorizar: hero value prop + social proof + comparador.","+45-60% conversión checkout (de 1.8% a 2.6-2.9%). Hero optimizado = +€15k-25k/mes ingresos adicionales."
"/villas","Categoría (Listado Villas)",Grid 12 villas + filtros básicos (capacidad, zona) + paginación,"Falta: Filtros avanzados (piscina, vistas mar, chef), Ordenamiento (precio, popularidad, disponibilidad), Quick view modal, Comparador, Mapa interactivo, Breadcrumbs","Turista lujo comparando opciones múltiples villas","Transaccional (investigación activa pre-reserva)","villas ibiza, alquiler villas ibiza, luxury villas ibiza","Filtros avanzados (10-12 criterios), Ordenamiento (5 opciones), Quick view hover, Comparador sticky 3 villas, Mapa Google Maps integrado, Breadcrumbs (Home > Villas), Stats resumen (127 villas disponibles)",Muy Alta,"Implementar filtros avanzados + comparador + mapa. UX listing crítica para conversión.","+30-40% engagement (tiempo página +2.5 min). Comparador = +18-25% conversión vs landing sin comparador."
"/villas/villa-sunset-ibiza","Villa Individual (Producto)",Galería 15 fotos + descripción 200 palabras + amenities lista + form contacto,"Falta: Video tour 360°, Calendar disponibilidad, Pricing dinámico temporadas, Reviews villa específica, FAQ villa, Nearby attractions, Similar villas, Schema Product","Turista lujo decidiendo villa específica (bottom funnel)","Transaccional (decisión compra inminente)","villa sunset ibiza, alquilar villa sunset, villa 12 personas ibiza piscina","Video tour 3-5 min, Calendar con pricing real-time, Tabla pricing 3 temporadas, Reviews villa (15-20), FAQ 8-10 preguntas, Mapa nearby (playas 5km, restaurantes, clubs), Carrousel 3 villas similares, Schema Product completo",Crítica,"Página villa = closer. Video tour + calendar pricing + reviews específicas = conversión 3x.","+120-180% conversión (de 2.3% a 5.1-6.4%). Calendar disponibilidad = reducción abandono -40%. ROI inmediato."
"/blog/guia-completa-alquiler-villas-ibiza","Artículo Blog (Informacional)",Texto 1,200 palabras + 3 imágenes stock + sidebar vacío,"Falta: TOC (Table of Contents), Infografías originales, Video embebido, Internal links villas relevantes, CTA mid/bottom article, Related posts, Author box, FAQ Schema","Turista lujo fase investigación temprana (top funnel awareness)","Informacional (educación pre-decisión)","guía alquilar villa ibiza, consejos alquiler villa, cómo alquilar villa ibiza","TOC clickable 8 secciones, 2 infografías originales (proceso reserva, mapa zonas), Video 2-3 min tips, 5-8 internal links a villas, CTA lead magnet (PDF guía extendida), Related posts 3-4 artículos, Author box con bio + foto, FAQ Schema 6-8 preguntas",Alta,"Blog = tráfico orgánico top funnel. TOC + infografías + internal links = engagement + conversión indirecta.","+60-85% tiempo página (de 2.1 min a 3.4-3.9 min). Internal links = +12-18% clickthrough a villas. Lead magnet = +400 leads/mes."
"/zonas/cala-tarida","Landing Zona Geográfica",Descripción zona 150 palabras + 4 villas zona + mapa estático,"Falta: Hero imagen zona específica, Stats zona (playas, distancias), Guía completa zona, Comparativa zonas, Testimonios clientes zona, FAQ zona, Schema Place","Turista lujo buscando zona específica Ibiza (geo-intent)","Transaccional + Informacional (decisión zona + villa)","villas cala tarida, alquiler villa cala tarida, villas lujo cala tarida","Hero imagen Cala Tarida sunset, Stats (3 playas a <5 min, 12 restaurantes, 15 min aeropuerto), Guía 800 palabras (playas, restaurantes, clubs, actividades), Tabla comparativa 5 zonas top, Reviews clientes Cala Tarida (8-10), FAQ 6 preguntas, Schema Place + LocalBusiness",Muy Alta,"Zonas = keywords long-tail alto valor. Hero + guía completa + comparativa = autoridad local.","+50-70% conversión zona (de 1.5% a 2.3-2.6%). Guía completa = rankear 15-20 keywords long-tail zona. Tráfico +450-650 sess/mes por zona."
"/sobre-nosotros","Página Estática (Institucional)",Texto 100 palabras genérico + foto stock equipo,"Falta: Historia fundación (storytelling), Equipo completo (fotos reales, bios), Valores empresa, Certificaciones, Partnerships, Timeline empresa, Video about us, Schema Organization/Person","Turista lujo evaluando confianza marca (E-E-A-T)","Navegacional (verificación credibilidad)","sobre nosotros ibiza villa, equipo ibiza villa, contacto ibiza villa","Historia fundación (2010, por qué Ibiza, misión), Equipo 4-6 personas (foto real, bio 100 palabras, LinkedIn), Valores (exclusividad, servicio personalizado, local expertise), Certificaciones (Tourism License, Insurance €5M), Partners (luxury-retreats, timeout), Timeline 10 años, Video 2 min, Schema Organization + 2 Person",Alta,"Sobre Nosotros crítico E-E-A-T. Historia + equipo real + certificaciones = trust +45-60%.","+45-60% trust score visitantes. Equipos reales con LinkedIn = señal E-E-A-T fuerte. Certificaciones = conversión +18-25%."
"/servicios/chef-privado","Landing Servicio Adicional",Descripción servicio 120 palabras + pricing tabla simple + form contacto,"Falta: Galería chef trabajando, Menús ejemplo (PDF), Reviews servicio, Chef bio + foto, Process workflow, FAQ, Upsell bundle (villa + chef)","Turista lujo buscando servicios premium adicionales","Transaccional (add-on post-reserva villa)","chef privado ibiza villa, chef ibiza, servicio chef villas ibiza","Galería 12 fotos chef preparando (villa real), 3 menús ejemplo PDF descargable (Mediterráneo, Sushi, BBQ), Reviews chef (15-20 testimonios), Chef bio 200 palabras + foto profesional, Workflow 5 pasos (consulta → menú → compra → servicio → feedback), FAQ 8 preguntas, Bundle villa+chef descuento 15%",Media,"Servicios adicionales = upsell revenue +€8k-12k/mes. Galería + menús + reviews = conversión servicio +80-120%.","+€8,000-12,000/mes revenue servicios adicionales. 35-45% clientes reservan chef si landing optimizada vs 12% actual."
"/contacto","Página Estática (Transaccional)",Form contacto básico 4 campos + mapa Google Maps + teléfono/email,"Falta: Opciones contacto múltiples (WhatsApp, chat, videollamada), Horarios atención, Tiempo respuesta promedio, FAQ contacto, Links redes sociales, Emergency contact 24/7","Turista lujo necesitando soporte pre/post reserva","Navegacional + Transaccional (asistencia)","contacto ibiza villa, teléfono ibiza villa, whatsapp ibiza villa","WhatsApp Business link directo, Live chat widget (horario 9-20h), Videollamada Calendly link, Horarios (Lun-Vie 9-20h, Sáb-Dom 10-18h), Tiempo respuesta (<2h laborable, <4h finde), FAQ contacto 5 preguntas, Redes sociales (Instagram, Facebook, LinkedIn), Emergency 24/7 número",Media,"Contacto multicanal = conversión leads +30-45%. WhatsApp = canal preferido turistas internacionales.","+30-45% conversión contacto a lead cualificado. WhatsApp = 68% turistas internacionales prefieren vs email. Response time <2h = trust +35%."
"/faq","Página Estática (Soporte)",15 FAQs texto plano sin categorización ni Schema,"Falta: Categorización FAQs (Reserva, Pago, Cancelación, Villa, Servicios), Buscador FAQs, Accordion UI, FAQ Schema, Related FAQs, CTA bottom, Stats (95% preguntas respondidas)","Turista lujo resolviendo dudas específicas pre-reserva","Informacional (reducción fricción compra)","preguntas frecuentes villa ibiza, faq alquiler villa, dudas reserva villa","5 categorías (Reserva, Pago, Cancelación, Villa/Servicios, Check-in/out), Buscador keywords, Accordion colapsable, FAQ Schema 30-40 preguntas, Related FAQs 3-4 por pregunta, CTA (¿No encuentras respuesta? WhatsApp), Stats (95% preguntas respondidas <2h)",Alta,"FAQ completa reduce abandono checkout -25-35%. FAQ Schema = aparecer People Also Ask Google.","-25-35% abandono checkout por dudas sin resolver. FAQ Schema = +8-12 Featured Snippets PAA. Tráfico FAQ +280-420 sess/mes."
"/politica-cancelacion","Página Estática (Legal/Trust)",Texto legal 300 palabras denso sin formato,"Falta: Tabla visual políticas, Ejemplos escenarios (qué pasa si cancelo X días antes), Calculator reembolso, Comparativa competidores, FAQ cancelación, Insurance option upsell","Turista lujo evaluando riesgo cancelación (trust crítico)","Informacional (reducción riesgo percibido)","política cancelación villa ibiza, reembolso cancelación, seguro cancelación","Tabla 3 políticas (Flexible, Moderada, Estricta) con % reembolso por días, 5 ejemplos escenarios (cancelo 90 días antes → 100% reembolso), Calculator interactivo (ingresa fecha reserva/cancelación → calcula reembolso), Comparativa vs Booking/Airbnb (más flexible), FAQ 8 preguntas, Insurance 3-5% valor total (upsell),Alta,"Política cancelación clara reduce fricción compra. Flexible policy = conversión +20-30% vs estricta.","+20-30% conversión con política flexible vs estricta. Insurance upsell = 22-28% adoption rate = +€3k-5k/mes revenue adicional."
